,年度,球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁死,犠打,犠飛,四球,敬遠,死球,三振,併殺打,打率,出塁率,長打率,OPS,player_id
0,2015,オリックス,5,11,11,0,1,0,0,0,1.0,0,0,0.0,0,0,0,0.0,0,2,1,0.091,0.091,0.091,0.182,ff273f09-8981-4259-b85c-04398ecf6247
1,2016,オリックス,85,262,229,22,52,13,0,0,65.0,20,0,0.0,23,0,4,1.0,6,42,5,0.227,0.259,0.284,0.543,ff273f09-8981-4259-b85c-04398ecf6247
2,2017,オリックス,100,256,218,16,44,8,2,1,59.0,18,0,0.0,23,2,10,0.0,3,50,9,0.202,0.245,0.271,0.515,ff273f09-8981-4259-b85c-04398ecf6247
3,2018,オリックス,114,302,269,22,66,9,2,1,82.0,27,1,0.0,23,1,7,0.0,2,80,6,0.245,0.269,0.305,0.574,ff273f09-8981-4259-b85c-04398ecf6247
4,2019,オリックス,138,348,298,21,53,9,0,1,65.0,21,2,0.0,25,0,21,1.0,4,73,4,0.178,0.241,0.218,0.46,ff273f09-8981-4259-b85c-04398ecf6247
5,2020,オリックス,75,215,192,14,46,12,0,3,67.0,19,2,0.0,8,1,9,0.0,5,40,4,0.24,0.29,0.349,0.639,ff273f09-8981-4259-b85c-04398ecf6247
6,2021,オリックス,68,140,117,11,25,4,0,5,44.0,16,1,0.0,9,1,11,0.0,2,27,2,0.214,0.29,0.376,0.666,ff273f09-8981-4259-b85c-04398ecf6247
7,2022,オリックス,68,193,171,16,48,7,0,4,67.0,14,3,1.0,9,1,9,0.0,3,34,5,0.281,0.326,0.392,0.718,ff273f09-8981-4259-b85c-04398ecf6247
8,通算：8年,通算：8年,653,1727,1505,122,335,62,4,15,450.0,135,9,1.0,120,6,71,2.0,25,348,36,0.223,0.268,0.299,0.567,ff273f09-8981-4259-b85c-04398ecf6247
0,2013,オリックス,17,30,28,1,7,1,0,1,11.0,2,0,0.0,1,0,1,0.0,0,5,0,0.25,0.276,0.393,0.669,e1b21814-8cb5-4f64-8a35-cf5756384d98
1,2014,オリックス,7,5,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,1,1,0.0,0.0,0.0,0.0,e1b21814-8cb5-4f64-8a35-cf5756384d98
2,2015,オリックス,20,26,22,2,6,1,0,0,7.0,0,0,0.0,2,0,1,0.0,1,6,1,0.273,0.333,0.318,0.652,e1b21814-8cb5-4f64-8a35-cf5756384d98
3,2016,オリックス,17,35,33,2,8,0,0,0,8.0,1,0,0.0,0,0,0,0.0,2,6,1,0.242,0.286,0.242,0.528,e1b21814-8cb5-4f64-8a35-cf5756384d98
4,2017,オリックス,4,1,1,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,e1b21814-8cb5-4f64-8a35-cf5756384d98
5,2018,オリックス,76,201,186,16,51,14,1,1,70.0,17,0,0.0,1,0,12,0.0,2,39,6,0.274,0.325,0.376,0.701,e1b21814-8cb5-4f64-8a35-cf5756384d98
6,2019,オリックス,39,72,61,4,10,0,0,1,13.0,9,0,1.0,0,1,8,1.0,2,16,2,0.164,0.278,0.213,0.491,e1b21814-8cb5-4f64-8a35-cf5756384d98
7,2020,オリックス,71,198,189,14,49,7,2,6,78.0,23,0,0.0,2,1,6,0.0,0,35,4,0.259,0.281,0.413,0.693,e1b21814-8cb5-4f64-8a35-cf5756384d98
8,2021,オリックス,91,262,238,21,52,11,1,4,77.0,25,0,1.0,5,2,14,0.0,3,39,5,0.218,0.268,0.324,0.592,e1b21814-8cb5-4f64-8a35-cf5756384d98
9,2022,オリックス,76,235,205,16,47,12,1,3,70.0,21,2,1.0,16,1,8,0.0,5,42,7,0.229,0.274,0.341,0.615,e1b21814-8cb5-4f64-8a35-cf5756384d98
10,通算：10年,通算：10年,418,1065,968,77,230,46,5,16,334.0,98,2,3.0,27,5,50,1.0,15,190,27,0.238,0.284,0.345,0.629,e1b21814-8cb5-4f64-8a35-cf5756384d98
0,2022,オリックス,5,8,8,0,1,0,0,0,1.0,0,0,0.0,0,0,0,0.0,0,2,0,0.125,0.125,0.125,0.25,af857b7a-01d4-435c-8a2d-5c1775235f3d
1,通算：1年,通算：1年,5,8,8,0,1,0,0,0,1.0,0,0,0.0,0,0,0,0.0,0,2,0,0.125,0.125,0.125,0.25,af857b7a-01d4-435c-8a2d-5c1775235f3d
0,2010,中日,13,15,14,0,1,0,0,0,1.0,0,0,0.0,0,0,1,0.0,0,8,0,0.071,0.133,0.071,0.205,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
1,2011,中日,10,13,11,2,3,0,0,0,3.0,0,0,0.0,2,0,0,0.0,0,4,0,0.273,0.273,0.273,0.546,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
2,2012,中日,4,3,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,1,2,0,0.0,0.333,0.0,0.333,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
3,2013,中日,45,72,63,4,9,2,0,0,11.0,3,1,0.0,3,0,6,0.0,0,15,0,0.143,0.217,0.175,0.392,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
4,2014,中日,67,162,142,10,25,3,1,1,33.0,4,3,1.0,4,0,16,1.0,0,47,3,0.176,0.259,0.232,0.492,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
5,2015,中日,51,146,133,4,18,4,0,0,22.0,7,2,1.0,6,0,5,0.0,2,43,3,0.135,0.179,0.165,0.344,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
6,2016,中日,4,7,7,1,1,0,0,0,1.0,0,0,0.0,0,0,0,0.0,0,4,0,0.143,0.143,0.143,0.286,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
7,2017,中日,87,244,208,22,46,7,1,2,61.0,17,0,0.0,10,1,22,0.0,3,63,3,0.221,0.303,0.293,0.597,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
8,2018,中日,92,260,218,18,50,7,1,2,65.0,22,0,0.0,7,3,30,9.0,2,51,5,0.229,0.324,0.298,0.622,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
9,2019,中日,20,39,33,3,7,2,0,0,9.0,2,0,0.0,2,0,4,0.0,0,12,1,0.212,0.297,0.273,0.57,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
10,2019,オリックス,24,42,36,5,7,0,0,0,7.0,2,0,0.0,3,0,3,0.0,0,7,0,0.194,0.256,0.194,0.451,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
11,'19計,オリックス,44,81,69,8,14,2,0,0,16.0,4,0,0.0,5,0,7,0.0,0,19,1,0.203,0.276,0.232,0.508,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
12,2020,オリックス,23,40,36,5,8,2,0,1,13.0,4,0,0.0,0,0,3,0.0,1,7,2,0.222,0.3,0.361,0.661,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
13,2021,オリックス,10,7,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
14,2022,オリックス,6,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
15,通算：12年,通算：12年,456,1051,911,74,175,27,3,6,226.0,61,6,2.0,37,4,90,10.0,9,265,17,0.192,0.27,0.248,0.518,04e1e9c1-d774-4d4f-9800-9bbffd0839a5
0,2019,オリックス,28,93,91,5,18,5,0,3,32.0,10,0,0.0,0,1,1,0.0,0,22,3,0.198,0.204,0.352,0.556,3a97feda-854e-4da6-9c25-48269b8406e3
1,2020,オリックス,12,35,32,5,10,3,0,2,19.0,5,0,0.0,0,0,3,0.0,0,11,0,0.313,0.371,0.594,0.965,3a97feda-854e-4da6-9c25-48269b8406e3
2,2021,オリックス,46,125,112,11,26,4,0,5,45.0,14,0,0.0,1,1,8,0.0,3,41,0,0.232,0.298,0.402,0.7,3a97feda-854e-4da6-9c25-48269b8406e3
3,2022,オリックス,81,271,234,23,53,17,0,11,103.0,34,0,0.0,1,5,23,0.0,8,51,6,0.226,0.311,0.44,0.751,3a97feda-854e-4da6-9c25-48269b8406e3
4,通算：4年,通算：4年,167,524,469,44,107,29,0,21,199.0,63,0,0.0,2,7,35,0.0,11,125,9,0.228,0.293,0.424,0.717,3a97feda-854e-4da6-9c25-48269b8406e3
0,2014,ソフトバンク,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,----,----,----,----,4ead9312-5acf-499a-86ba-1451de9c9ad2
1,2015,ソフトバンク,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,----,----,----,----,4ead9312-5acf-499a-86ba-1451de9c9ad2
2,2016,ソフトバンク,13,7,6,1,1,1,0,0,2.0,1,0,0.0,0,0,1,0.0,0,4,0,.167,.286,.333,.619,4ead9312-5acf-499a-86ba-1451de9c9ad2
3,2017,ソフトバンク,103,257,207,30,48,8,3,5,77.0,18,4,0.0,22,0,26,1.0,2,68,2,.232,.323,.372,.695,4ead9312-5acf-499a-86ba-1451de9c9ad2
4,2018,ソフトバンク,133,363,314,27,67,13,1,7,103.0,37,2,1.0,23,0,26,0.0,0,79,6,.213,.274,.328,.602,4ead9312-5acf-499a-86ba-1451de9c9ad2
5,2019,ソフトバンク,137,454,377,42,98,15,0,11,146.0,43,9,4.0,23,3,50,0.0,1,114,9,.260,.346,.387,.733,4ead9312-5acf-499a-86ba-1451de9c9ad2
6,2020,ソフトバンク,104,360,289,44,61,15,0,11,109.0,33,4,4.0,22,3,43,0.0,3,80,7,.211,.317,.377,.694,4ead9312-5acf-499a-86ba-1451de9c9ad2
7,2021,ソフトバンク,143,479,405,42,92,15,0,12,143.0,44,6,6.0,26,2,44,0.0,2,142,7,.227,.305,.353,.658,4ead9312-5acf-499a-86ba-1451de9c9ad2
8,2022,ソフトバンク,130,405,323,25,58,9,1,1,72.0,27,1,3.0,38,1,38,0.0,5,85,9,.180,.275,.223,.498,4ead9312-5acf-499a-86ba-1451de9c9ad2
9,通算：9年,通算：9年,765,2325,1921,211,425,76,5,47,652.0,203,26,18.0,154,9,228,1.0,13,572,40,.221,.307,.339,.646,4ead9312-5acf-499a-86ba-1451de9c9ad2
0,2021,ソフトバンク,59,57,48,8,7,1,0,1,11.0,5,1,1.0,2,0,7,0.0,0,21,0,0.146,0.255,0.229,0.484,91f6c10c-fc47-4eea-8b03-06fd942ee17a
1,2022,ソフトバンク,71,75,64,16,15,4,2,0,23.0,8,1,2.0,1,1,7,0.0,2,18,1,0.234,0.324,0.359,0.684,91f6c10c-fc47-4eea-8b03-06fd942ee17a
2,通算：2年,通算：2年,130,132,112,24,22,5,2,1,34.0,13,2,3.0,3,1,14,0.0,2,39,1,0.196,0.295,0.304,0.598,91f6c10c-fc47-4eea-8b03-06fd942ee17a
0,2020,ソフトバンク,5,4,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0,178d46b9-e1a1-4a5d-a2f9-6a79de605483
1,2021,ソフトバンク,11,5,4,1,1,1,0,0,2.0,2,0,0.0,0,1,0,0.0,0,1,0,0.25,0.2,0.5,0.7,178d46b9-e1a1-4a5d-a2f9-6a79de605483
2,2022,ソフトバンク,47,42,42,3,7,2,0,1,12.0,4,0,0.0,0,0,0,0.0,0,11,0,0.167,0.167,0.286,0.452,178d46b9-e1a1-4a5d-a2f9-6a79de605483
3,通算：3年,通算：3年,63,51,50,4,8,3,0,1,14.0,6,0,0.0,0,1,0,0.0,0,14,0,0.16,0.157,0.28,0.437,178d46b9-e1a1-4a5d-a2f9-6a79de605483
0,2019,ソフトバンク,2,3,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,1,1,0,0.0,0.333,0.0,0.333,28c3230b-5992-41b5-a778-33f6c30a97dc
1,2020,ソフトバンク,5,5,4,2,1,0,0,1,4.0,1,0,0.0,0,0,1,0.0,0,2,0,0.25,0.4,1.0,1.4,28c3230b-5992-41b5-a778-33f6c30a97dc
2,2021,ソフトバンク,3,2,2,0,1,0,0,0,1.0,1,0,0.0,0,0,0,0.0,0,0,0,0.5,0.5,0.5,1.0,28c3230b-5992-41b5-a778-33f6c30a97dc
3,通算：3年,通算：3年,10,10,8,2,2,0,0,1,5.0,2,0,0.0,0,0,1,0.0,1,3,0,0.25,0.4,0.625,1.025,28c3230b-5992-41b5-a778-33f6c30a97dc
0,2015,日本ハム,1,2,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,3cf90c1f-8fc7-415e-9a43-ba3bb969bfc8
1,2016,日本ハム,5,8,8,0,2,0,0,0,2.0,0,0,0.0,0,0,0,0.0,0,2,0,0.25,0.25,0.25,0.5,3cf90c1f-8fc7-415e-9a43-ba3bb969bfc8
2,2017,日本ハム,61,120,111,7,22,4,0,1,29.0,10,0,0.0,3,1,5,0.0,0,35,4,0.198,0.231,0.261,0.492,3cf90c1f-8fc7-415e-9a43-ba3bb969bfc8
3,2018,日本ハム,86,242,200,25,43,7,0,7,71.0,21,0,1.0,20,1,18,0.0,3,51,4,0.215,0.288,0.355,0.643,3cf90c1f-8fc7-415e-9a43-ba3bb969bfc8
4,2019,日本ハム,98,246,216,17,56,8,0,5,79.0,24,0,1.0,9,1,19,0.0,1,51,6,0.259,0.321,0.366,0.686,3cf90c1f-8fc7-415e-9a43-ba3bb969bfc8
5,2020,日本ハム,69,157,135,13,26,7,0,3,42.0,16,0,0.0,12,2,7,0.0,1,37,5,0.193,0.234,0.311,0.546,3cf90c1f-8fc7-415e-9a43-ba3bb969bfc8
6,2021,日本ハム,100,256,214,19,44,6,0,4,62.0,18,0,0.0,11,3,28,0.0,0,60,3,0.206,0.294,0.29,0.584,3cf90c1f-8fc7-415e-9a43-ba3bb969bfc8
7,2022,日本ハム,30,67,62,2,12,1,0,0,13.0,3,0,1.0,3,0,1,0.0,1,15,1,0.194,0.219,0.21,0.428,3cf90c1f-8fc7-415e-9a43-ba3bb969bfc8
8,通算：8年,通算：8年,450,1098,948,83,205,33,0,20,298.0,92,0,3.0,58,8,78,0.0,6,252,23,0.216,0.278,0.314,0.592,3cf90c1f-8fc7-415e-9a43-ba3bb969bfc8
0,2022,日本ハム,36,108,96,5,22,3,0,0,25.0,1,0,2.0,4,0,8,0.0,0,23,1,0.229,0.288,0.26,0.549,a0f9d3dd-933d-4f78-bdae-e03a825ac11b
1,通算：1年,通算：1年,36,108,96,5,22,3,0,0,25.0,1,0,2.0,4,0,8,0.0,0,23,1,0.229,0.288,0.26,0.549,a0f9d3dd-933d-4f78-bdae-e03a825ac11b
0,2017,巨人,21,45,40,6,14,0,0,4,26.0,8,0,0.0,0,0,3,0.0,2,14,0,0.35,0.422,0.65,1.072,ac292c32-55f4-4a28-8b95-c3d0cb9cc8ee
1,2018,巨人,29,58,48,2,5,2,0,0,7.0,3,0,0.0,0,0,10,1.0,0,20,1,0.104,0.259,0.146,0.404,ac292c32-55f4-4a28-8b95-c3d0cb9cc8ee
2,2019,巨人,3,4,4,0,1,0,0,0,1.0,0,0,0.0,0,0,0,0.0,0,0,0,0.25,0.25,0.25,0.5,ac292c32-55f4-4a28-8b95-c3d0cb9cc8ee
3,2019,日本ハム,45,103,96,4,19,3,0,0,22.0,9,0,0.0,1,0,6,0.0,0,19,4,0.198,0.245,0.229,0.474,ac292c32-55f4-4a28-8b95-c3d0cb9cc8ee
4,'19計,日本ハム,48,107,100,4,20,3,0,0,23.0,9,0,0.0,1,0,6,0.0,0,19,4,0.2,0.245,0.23,0.475,ac292c32-55f4-4a28-8b95-c3d0cb9cc8ee
5,2020,日本ハム,80,187,169,10,30,1,0,3,40.0,15,0,1.0,9,1,8,0.0,0,45,5,0.178,0.213,0.237,0.45,ac292c32-55f4-4a28-8b95-c3d0cb9cc8ee
6,2021,日本ハム,32,57,43,2,5,0,0,1,8.0,2,0,0.0,5,0,8,0.0,1,16,2,0.116,0.269,0.186,0.455,ac292c32-55f4-4a28-8b95-c3d0cb9cc8ee
7,2022,日本ハム,81,237,215,22,55,10,0,5,80.0,24,0,0.0,7,2,12,0.0,1,42,0,0.256,0.296,0.372,0.668,ac292c32-55f4-4a28-8b95-c3d0cb9cc8ee
8,通算：6年,通算：6年,291,691,615,46,129,16,0,13,184.0,61,0,1.0,22,3,47,1.0,4,156,12,0.21,0.269,0.299,0.568,ac292c32-55f4-4a28-8b95-c3d0cb9cc8ee
0,2017,日本ハム,1,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,2ed31fe9-69e8-43b9-b17a-60ce7f995c41
1,2019,日本ハム,2,4,4,0,1,0,0,0,1.0,0,0,0.0,0,0,0,0.0,0,2,0,0.25,0.25,0.25,0.5,2ed31fe9-69e8-43b9-b17a-60ce7f995c41
2,2020,日本ハム,9,7,6,1,0,0,0,0,0.0,0,0,0.0,0,0,1,0.0,0,1,0,0.0,0.143,0.0,0.143,2ed31fe9-69e8-43b9-b17a-60ce7f995c41
3,2021,日本ハム,33,77,69,4,13,3,0,0,16.0,4,1,1.0,1,0,6,0.0,1,23,1,0.188,0.263,0.232,0.495,2ed31fe9-69e8-43b9-b17a-60ce7f995c41
4,2022,日本ハム,26,63,56,2,7,1,0,2,14.0,6,1,1.0,2,0,4,0.0,1,16,0,0.125,0.197,0.25,0.447,2ed31fe9-69e8-43b9-b17a-60ce7f995c41
5,通算：5年,通算：5年,71,152,136,7,21,4,0,2,31.0,10,2,2.0,3,0,11,0.0,2,43,1,0.154,0.228,0.228,0.456,2ed31fe9-69e8-43b9-b17a-60ce7f995c41
0,2020,日本ハム,4,7,7,1,3,0,0,0,3.0,0,1,0.0,0,0,0,0.0,0,2,0,0.429,0.429,0.429,0.857,a04017d4-8426-4003-8e8d-5a079dcabfca
1,2021,日本ハム,3,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,a04017d4-8426-4003-8e8d-5a079dcabfca
2,通算：2年,通算：2年,7,8,8,1,3,0,0,0,3.0,0,1,0.0,0,0,0,0.0,0,2,0,0.375,0.375,0.375,0.75,a04017d4-8426-4003-8e8d-5a079dcabfca
0,2022,日本ハム,22,51,48,2,5,1,0,0,6.0,3,0,0.0,2,0,1,0.0,0,19,0,0.104,0.122,0.125,0.247,22912d0c-215b-41b5-8f1d-124abddfdd71
1,通算：1年,通算：1年,22,51,48,2,5,1,0,0,6.0,3,0,0.0,2,0,1,0.0,0,19,0,0.104,0.122,0.125,0.247,22912d0c-215b-41b5-8f1d-124abddfdd71
0,2014,日本ハム,1,4,4,1,1,0,1,0,3.0,3,0,0.0,0,0,0,0.0,0,1,0,.250,.250,.750,1.000,0bef7193-d869-4cf7-87a7-20c4f73367c1
1,2015,日本ハム,27,31,28,1,6,2,0,0,8.0,3,0,0.0,0,2,1,0.0,0,9,0,.214,.226,.286,.512,0bef7193-d869-4cf7-87a7-20c4f73367c1
2,2016,日本ハム,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,----,----,----,----,0bef7193-d869-4cf7-87a7-20c4f73367c1
3,2018,日本ハム,32,57,50,4,11,3,0,0,14.0,3,0,0.0,2,0,4,0.0,1,16,1,.220,.291,.280,.571,0bef7193-d869-4cf7-87a7-20c4f73367c1
4,2019,日本ハム,46,86,75,3,15,3,0,0,18.0,3,0,0.0,9,0,2,0.0,0,29,2,.200,.221,.240,.461,0bef7193-d869-4cf7-87a7-20c4f73367c1
5,2020,日本ハム,17,22,21,0,3,1,0,0,4.0,1,0,0.0,1,0,0,0.0,0,8,0,.143,.143,.190,.333,0bef7193-d869-4cf7-87a7-20c4f73367c1
6,2021,日本ハム,60,123,108,6,20,2,0,0,22.0,7,0,1.0,11,0,4,0.0,0,21,3,.185,.214,.204,.418,0bef7193-d869-4cf7-87a7-20c4f73367c1
7,2022,日本ハム,23,52,45,3,7,0,0,0,7.0,3,0,0.0,5,0,2,0.0,0,7,1,.156,.191,.156,.347,0bef7193-d869-4cf7-87a7-20c4f73367c1
8,通算：8年,通算：8年,207,375,331,18,63,11,1,0,76.0,23,0,1.0,28,2,13,0.0,1,91,7,.190,.222,.230,.452,0bef7193-d869-4cf7-87a7-20c4f73367c1
0,2022,ロッテ,76,212,185,12,32,5,0,0,37.0,14,1,0.0,8,1,18,0.0,0,60,7,0.173,0.245,0.2,0.445,b9cae776-37b3-4e78-8094-6657618a0a64
1,通算：1年,通算：1年,76,212,185,12,32,5,0,0,37.0,14,1,0.0,8,1,18,0.0,0,60,7,0.173,0.245,0.2,0.445,b9cae776-37b3-4e78-8094-6657618a0a64
0,2013,ロッテ,7,7,7,0,2,0,0,0,2.0,1,0,0.0,0,0,0,0.0,0,1,0,0.286,0.286,0.286,0.571,6d18bf2f-b5fc-41da-ad44-4ae9632fcf99
1,2014,ロッテ,50,148,128,5,20,4,1,0,26.0,10,0,0.0,9,0,10,0.0,1,27,2,0.156,0.223,0.203,0.426,6d18bf2f-b5fc-41da-ad44-4ae9632fcf99
2,2015,ロッテ,117,365,305,26,52,10,1,2,70.0,32,3,2.0,22,4,33,0.0,1,69,3,0.17,0.251,0.23,0.48,6d18bf2f-b5fc-41da-ad44-4ae9632fcf99
3,2016,ロッテ,130,430,371,27,95,16,3,2,123.0,38,6,0.0,17,3,38,0.0,1,91,12,0.256,0.324,0.332,0.656,6d18bf2f-b5fc-41da-ad44-4ae9632fcf99
4,2017,ロッテ,132,359,311,31,77,12,3,3,104.0,36,4,2.0,17,4,26,0.0,1,68,7,0.248,0.304,0.334,0.638,6d18bf2f-b5fc-41da-ad44-4ae9632fcf99
5,2018,ロッテ,143,476,415,32,99,14,7,3,136.0,35,3,3.0,16,2,40,1.0,3,68,13,0.239,0.309,0.328,0.637,6d18bf2f-b5fc-41da-ad44-4ae9632fcf99
6,2019,ロッテ,100,321,284,30,69,12,1,3,92.0,31,1,2.0,12,3,22,0.0,0,59,8,0.243,0.294,0.324,0.618,6d18bf2f-b5fc-41da-ad44-4ae9632fcf99
7,2020,ロッテ,92,237,203,12,44,7,0,4,63.0,23,1,1.0,10,1,20,0.0,3,45,3,0.217,0.295,0.31,0.605,6d18bf2f-b5fc-41da-ad44-4ae9632fcf99
